"user_name","movie_name","star_rating"
"sjm","Parasite",4
"kb","Parasite",5
"fm","Parasite",4
"jll","Parasite",5
"dm","Parasite",1
"dl","Parasite",3
"npl","Parasite",5
"ajl","Parasite",5
"sm","Parasite",2
"am","1917",3
"kb","1917",5
"fm","1917",3
"jll","1917",5
"dm","1917",5
"dl","1917",4
"npl","1917",2
"ajl","1917",3
"sm","1917",2
"am","Ford v Ferrari",2
"sjm","Ford v Ferrari",2
"fm","Ford v Ferrari",2
"jll","Ford v Ferrari",3
"dm","Ford v Ferrari",1
"dl","Ford v Ferrari",5
"npl","Ford v Ferrari",4
"ajl","Ford v Ferrari",4
"sm","Ford v Ferrari",4
"am","Joker",5
"sjm","Joker",5
"kb","Joker",5
"jll","Joker",5
"dm","Joker",5
"dl","Joker",5
"npl","Joker",4
"ajl","Joker",4
"sm","Joker",4
"am","Once Upon a Time in Hollywood",3
"sjm","Once Upon a Time in Hollywood",3
"kb","Once Upon a Time in Hollywood",1
"fm","Once Upon a Time in Hollywood",4
"dm","Once Upon a Time in Hollywood",4
"dl","Once Upon a Time in Hollywood",5
"npl","Once Upon a Time in Hollywood",3
"ajl","Once Upon a Time in Hollywood",5
"sm","Once Upon a Time in Hollywood",2
"am","The Irishman",3
"sjm","The Irishman",3
"kb","The Irishman",5
"fm","The Irishman",4
"jll","The Irishman",4
"dm","The Irishman",5
"dl","The Irishman",4
"npl","The Irishman",5
"ajl","The Irishman",5
